2023-01-22 16:24:46 INFO  Servlet:60 - Servlet.destroy
2023-01-22 16:25:12 INFO  Servlet:22 - Servlet.init
2023-01-22 16:25:12 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:15 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:16 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:19 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:23 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:24 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:25 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:27 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:27 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:29 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:32 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:34 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:36 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-22 16:25:39 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:41 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:42 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:43 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:25:59 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:26:08 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-22 16:26:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-25 12:42:22 INFO  Servlet:22 - Servlet.init
2023-01-25 12:42:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:42:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:42:36 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-25 12:42:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:50:11 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:50:15 INFO  Servlet:22 - Servlet.init
2023-01-25 12:50:15 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-25 12:50:20 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:50:29 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:50:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:51:24 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:51:33 INFO  Servlet:22 - Servlet.init
2023-01-25 12:51:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:52:15 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:52:24 INFO  Servlet:22 - Servlet.init
2023-01-25 12:52:24 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:52:29 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:52:48 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:52:50 INFO  Servlet:22 - Servlet.init
2023-01-25 12:52:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:52:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:53:51 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:54:01 INFO  Servlet:22 - Servlet.init
2023-01-25 12:54:01 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:54:09 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:54:42 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:54:47 INFO  Servlet:22 - Servlet.init
2023-01-25 12:54:47 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:54:49 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:57:49 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:58:01 INFO  Servlet:22 - Servlet.init
2023-01-25 12:58:01 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:58:05 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:58:09 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 12:58:23 INFO  Servlet:60 - Servlet.destroy
2023-01-25 12:58:32 INFO  Servlet:22 - Servlet.init
2023-01-25 12:58:32 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:11 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:00:16 INFO  Servlet:22 - Servlet.init
2023-01-25 13:00:16 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:25 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:26 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:28 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:00:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:01:01 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:01:08 INFO  Servlet:22 - Servlet.init
2023-01-25 13:01:08 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:01:38 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:01:42 INFO  Servlet:22 - Servlet.init
2023-01-25 13:01:42 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:02:04 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:02:09 INFO  Servlet:22 - Servlet.init
2023-01-25 13:02:09 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:02:23 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:02:25 INFO  Servlet:22 - Servlet.init
2023-01-25 13:02:25 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:02:38 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:02:43 INFO  Servlet:22 - Servlet.init
2023-01-25 13:02:43 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:02:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:03:58 INFO  Servlet:22 - Servlet.init
2023-01-25 13:03:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:07:29 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:34:44 INFO  Servlet:22 - Servlet.init
2023-01-25 13:34:44 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:34:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:34:51 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:34:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:34:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:35:00 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:35:02 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:35:54 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:36:01 INFO  Servlet:22 - Servlet.init
2023-01-25 13:36:01 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:37:11 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:37:17 INFO  Servlet:22 - Servlet.init
2023-01-25 13:37:17 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:38:18 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:38:19 INFO  Servlet:22 - Servlet.init
2023-01-25 13:38:19 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:38:43 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:38:44 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:38:45 INFO  Servlet:22 - Servlet.init
2023-01-25 13:38:45 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:38:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:38:59 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:39:04 INFO  Servlet:22 - Servlet.init
2023-01-25 13:39:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:39:28 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:39:35 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:39:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:39:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:40:43 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:43:01 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:43:03 INFO  Servlet:22 - Servlet.init
2023-01-25 13:43:03 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:44:15 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:44:28 INFO  Servlet:22 - Servlet.init
2023-01-25 13:44:28 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:44:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
